cntry,hhsize_iso,meet_iso,relig_iso,volunt_iso,discuss_iso,unemp_iso
AT,1,1.02,1.01,1.02,1.03,1
BE,1.03,1.05,1.03,1.02,1.06,1.01
BG,1.04,1.11,1,1.01,1.14,1
CH,1.02,1.01,1.01,1.03,1.02,1
CY,1.05,1.06,1,1.03,1.07,1.01
DE,1.01,1.07,1.04,1.04,1.07,1.01
EE,1.02,1.05,1.01,1.03,1.07,1
ES,1.01,1.02,1.01,1.02,1.03,1
FI,1.01,1.01,1.03,1.03,1.01,1.01
FR,1.01,1.02,1.02,1.02,1.03,1.01
GB,1,1.05,1.01,1.03,1.05,1
GR,1.02,1.04,1.02,1.01,1.01,1
HR,1.02,1.03,1.01,1.02,1.05,1
HU,1.03,1.14,1.02,1.01,1.13,1
IE,1.03,1.05,1.02,1.02,1.07,1.01
IL,1.01,1.03,1.07,1.06,1.06,1.01
IS,1.02,1.03,1.06,1.07,1.03,1.01
IT,1.02,1.08,1.01,1.02,1.09,1.01
LT,1.01,1.06,1.01,1.02,1.05,1.01
LV,1.01,1.09,1.02,1.04,1.11,1.01
ME,1.01,1.02,1.02,1.02,1,1.01
NL,1.02,1.03,1.04,1.05,1.04,1
NO,1,1.02,1.02,1.02,1.01,1.01
PL,1.01,1.03,1.01,1.01,1.03,1
PT,1.01,1.05,1.01,1.01,1.06,1
RS,1.02,1.05,1.02,1.01,1.05,1.01
SE,1.01,1.05,1.04,1.05,1.04,1.01
SI,1.01,1.04,1.01,1.02,1.04,1.01
SK,1.01,1.05,1.01,1.01,1.06,1.01
UA,1.01,1.06,1,1.02,1.06,1
